,vc1,vc2,vc,vc_int
32221,9-1-36(a),22-2-88(b),9-1-36(a),119
32222,9-1-212,9-1-113,9-1-212,97
32223,9-1-110(a),9-1-111,9-1-110(a),81
32224,9-1-104,9-1-36(a),9-1-104,75
32225,9-1-36(a),9-1-111,9-1-36(a),119
32226,9-1-104,9-1-36(a),9-1-104,75
32227,9-1-36(a),22-2-88(b),9-1-36(a),119
32228,9-1-36(a),9-1-104,9-1-36(a),119
32229,9-1-36(a),22-2-88(b),9-1-36(a),119
32230,22-2-22,9-1-104,22-2-22,11
32231,9-1-36(a),9-1-113,9-1-36(a),119
32232,22-2-22,9-1-111,22-2-22,11
32233,22-2-45,9-1-36(a),22-2-45,18
32234,22-2-17,22-2-88(b),22-2-17,7
32235,9-1-104,22-2-88(b),9-1-104,75
32236,9-1-104,9-1-104,9-1-104,75
32237,9-1-36(a),9-1-36(a),9-1-36(a),119
32238,9-1-104,9-1-111,9-1-104,75
32239,9-1-36(a),9-1-113,9-1-36(a),119
32240,9-1-36(a),9-1-113,9-1-36(a),119
32241,9-1-36(a),9-1-36(a),9-1-36(a),119
32242,9-1-36(a),9-1-111,9-1-36(a),119
32243,22-2-43,9-1-111,22-2-43,16
32244,9-1-36(a),9-1-113,9-1-36(a),119
32245,9-1-206,9-1-36(a),9-1-206,91
32246,9-1-107,22-2-88(b),9-1-107,78
32247,9-1-36(a),9-1-36(a),9-1-36(a),119
32248,9-1-36(a),9-1-111,9-1-36(a),119
32249,9-1-36(a),9-1-36(a),9-1-36(a),119
32250,9-1-105,9-1-110(a),9-1-105,76
32251,9-1-36(a),22-2-88(b),9-1-36(a),119
32252,9-1-36(a),9-1-111,9-1-36(a),119
32253,9-1-36(a),9-1-36(a),9-1-36(a),119
32254,9-1-36(a),9-1-111,9-1-36(a),119
32255,9-1-36(a),9-1-113,9-1-36(a),119
32256,9-1-36(a),9-1-36(a),9-1-36(a),119
32257,9-1-36(a),9-1-111,9-1-36(a),119
32258,9-1-36(a),9-1-111,9-1-36(a),119
32259,9-1-104,9-1-113,9-1-104,75
32260,22-2-17,9-1-36(a),22-2-17,7
32261,9-1-36(a),9-1-111,9-1-36(a),119
32262,9-1-104,9-1-36(a),9-1-104,75
32263,9-1-36(a),9-1-113,9-1-36(a),119
32264,9-1-36(a),9-1-36(a),9-1-36(a),119
32265,9-1-36(a),9-1-111,9-1-36(a),119
32266,9-1-36(a),9-1-113,9-1-36(a),119
32267,9-1-36(a),9-1-36(a),9-1-36(a),119
32268,9-1-36(a),9-1-111,9-1-36(a),119
32269,9-1-105,9-1-36(a),9-1-105,76
32270,9-1-36(a),9-1-111,9-1-36(a),119
32271,9-1-36(a),9-1-113,9-1-36(a),119
32272,9-1-205,9-1-104,9-1-205,90
32273,9-1-104,22-2-88(b),9-1-104,75
32274,9-1-36(a),9-1-36(a),9-1-36(a),119
32275,9-1-36(a),9-1-111,9-1-36(a),119
32276,9-1-36(a),22-2-88(b),9-1-36(a),119
32277,9-1-311,9-1-111,9-1-311,112
32278,9-1-36(a),9-1-113,9-1-36(a),119
32279,9-1-36(a),9-1-36(a),9-1-36(a),119
32280,9-1-104,9-1-12(b),9-1-104,75
32281,22-2-22,22-2-88(b),22-2-22,11
32282,22-2-22,22-2-85,22-2-22,11
32283,9-1-36(a),9-1-36(a),9-1-36(a),119
32284,9-1-36(a),22-2-88(a),9-1-36(a),119
32285,9-1-105,22-2-88(b),9-1-105,76
32286,9-1-104,22-2-88(b),9-1-104,75
32287,9-1-36(a),9-1-36(a),9-1-36(a),119
32288,9-1-36(a),9-1-104,9-1-36(a),119
32289,9-1-36(a),22-2-88(b),9-1-36(a),119
32290,9-1-36(a),22-2-88(b),9-1-36(a),119
32291,9-1-104,9-1-104,9-1-104,75
32292,9-1-36(a),9-1-104,9-1-36(a),119
32293,9-1-104,22-2-88(b),9-1-104,75
32294,9-1-212,22-2-88(b),9-1-212,97
32295,9-1-110(a),22-2-88(b),9-1-110(a),81
32296,9-1-206,22-2-88(b),9-1-206,91
32297,9-1-36(a),9-1-104,9-1-36(a),119
32298,22-2-17,22-2-88(b),22-2-17,7
32299,9-1-36(a),9-1-104,9-1-36(a),119
32300,9-1-36(a),22-2-88(b),9-1-36(a),119
32301,9-1-105,22-2-88(b),9-1-105,76
32302,9-1-104,22-2-88(b),9-1-104,75
32303,22-2-22,22-2-88(b),22-2-22,11
32304,9-1-104,22-2-88(a),9-1-104,75
32305,9-1-212,9-1-104,9-1-212,97
32306,9-1-206,22-2-43,9-1-206,91
32307,9-1-104,22-2-88(b),9-1-104,75
32308,61-114.0100/32.0031,22-2-88(b),61-114.0100/32.0031,45
32309,9-1-104,22-2-43,9-1-104,75
32310,9-1-104,22-2-88(b),9-1-104,75
32311,9-1-104,22-2-88(b),9-1-104,75
32312,9-1-201(a),22-2-88(b),9-1-201(a),86
32313,9-1-209,22-2-88(b),9-1-209,94
32314,9-1-210,9-1-104,9-1-210,95
32315,9-1-36(a),22-2-88(b),9-1-36(a),119
32316,19450901,9-1-104,19450901,0
32317,9-1-212,22-2-88(b),9-1-212,97
32318,9-1-104,22-2-88(b),9-1-104,75
32319,9-1-110(a),22-2-88(b),9-1-110(a),81
32320,9-1-36(a),9-1-36(a),9-1-36(a),119
32321,9-1-36(a),9-1-104,9-1-36(a),119
32322,9-1-36(a),22-2-83(b),9-1-36(a),119
32323,9-1-36(a),22-2-88(b),9-1-36(a),119
32324,9-1-36(a),22-2-88(b),9-1-36(a),119
32325,9-1-36(a),9-1-104,9-1-36(a),119
32326,9-1-104,9-1-104,9-1-104,75
32327,9-1-36(a),9-1-104,9-1-36(a),119
32328,9-1-36(a),22-2-88(b),9-1-36(a),119
32329,22-2-22,9-1-36(a),22-2-22,11
32330,9-1-104,22-2-88(b),9-1-104,75
32331,9-1-36(a),9-1-36(a),9-1-36(a),119
32332,9-1-36(a),9-1-111,9-1-36(a),119
32333,9-1-36(a),9-1-104,9-1-36(a),119
32334,9-1-36(a),22-2-88(b),9-1-36(a),119
32335,22-2-22,22-2-88(b),22-2-22,11
32336,22-2-22,22-2-88(b),22-2-22,11
32337,22-2-88,22-2-88(b),22-2-88,33
32338,22-2-22,9-1-81(a),22-2-22,11
32339,22-2-22,9-1-36(a),22-2-22,11
32340,9-1-104,22-2-88(b),9-1-104,75
32341,22-2-17,9-1-104,22-2-17,7
32342,9-1-36(a),9-1-104,9-1-36(a),119
32343,9-1-36(a),9-1-36(a),9-1-36(a),119
32344,22-2-22,9-1-104,22-2-22,11
32345,9-1-36(a),22-2-43,9-1-36(a),119
32346,22-2-17,22-2-88(b),22-2-17,7
32347,9-1-104,22-2-88(a),9-1-104,75
32348,9-1-36(a),9-1-104,9-1-36(a),119
32349,9-1-36(a),22-2-88(b),9-1-36(a),119
32350,9-1-36(a),22-2-88(b),9-1-36(a),119
32351,22-2-17,9-1-104,22-2-17,7
32352,22-2-17,22-2-88(b),22-2-17,7
32353,9-1-36(a),22-2-88(b),9-1-36(a),119
32354,9-1-36(a),22-2-88(b),9-1-36(a),119
32355,9-1-36(a),9-1-104,9-1-36(a),119
32356,22-2-17,9-1-104,22-2-17,7
32357,9-1-104,22-2-88(b),9-1-104,75
32358,22-2-61,9-1-104,22-2-61,23
32359,9-1-36(a),22-2-88(b),9-1-36(a),119
32360,9-1-104,9-1-104,9-1-104,75
32361,9-1-36(a),9-1-36(a),9-1-36(a),119
32362,22-2-22,22-2-88(b),22-2-22,11
32363,22-2-17,22-2-88(b),22-2-17,7
32364,61-4-32,9-1-104,61-4-32,52
32365,9-1-36(a),22-2-88(b),9-1-36(a),119
32366,9-1-45(c),9-1-104,9-1-45(c),140
32367,9-1-45(b),9-1-36(a),9-1-45(b),139
32368,61-4-33,9-1-110(a),61-4-33,53
32369,19450901,9-1-104,19450901,0
32370,9-1-46(a),9-1-36(a),9-1-46(a),141
32371,22-2-22,9-1-36(a),22-2-22,11
32372,9-1-104,22-2-88(b),9-1-104,75
32373,9-1-201(a),22-2-88(b),9-1-201(a),86
32374,9-1-36(a),9-1-104,9-1-36(a),119
32375,9-1-104,9-1-104,9-1-104,75
32376,22-2-22,22-2-56,22-2-22,11
32377,9-1-36(a),22-2-88(b),9-1-36(a),119
32378,22-2-22,22-2-56,22-2-22,11
32379,9-1-36(a),9-1-36(a),9-1-36(a),119
32380,9-1-105,9-1-36(a),9-1-105,76
32381,9-1-104,22-2-88(b),9-1-104,75
32382,22-2-84(a)(1)(2)(4),9-1-36(a),22-2-84(a)(1)(2)(4),28
32383,9-1-36(a),9-1-36(a),9-1-36(a),119
32384,9-1-201(a),9-1-104,9-1-201(a),86
32385,9-1-206,9-1-104,9-1-206,91
32386,22-2-22,9-1-104,22-2-22,11
32387,9-1-36(a),22-2-88(b),9-1-36(a),119
32388,9-1-104,22-2-88(b),9-1-104,75
32389,9-1-206,9-1-36(a),9-1-206,91
32390,9-1-36(a),22-2-56,9-1-36(a),119
32391,9-1-36(a),22-2-88(a),9-1-36(a),119
32392,22-2-22,9-1-104,22-2-22,11
32393,9-1-36(a),22-2-88(b),9-1-36(a),119
32394,22-2-61,9-1-104,22-2-61,23
32395,22-2-22,9-1-36(a),22-2-22,11
32396,9-1-36(a),22-2-88(b),9-1-36(a),119
32397,9-1-36(a),9-1-36(a),9-1-36(a),119
32398,9-1-36(a),22-2-56,9-1-36(a),119
32399,9-1-36(a),22-2-88(b),9-1-36(a),119
32400,22-2-22,22-2-88(b),22-2-22,11
32401,9-1-104,22-2-88(b),9-1-104,75
32402,9-1-36(a),22-2-88(b),9-1-36(a),119
32403,9-1-36(a),9-1-104,9-1-36(a),119
32404,9-1-36(a),22-2-88(b),9-1-36(a),119
32405,9-1-201(b),9-1-104,9-1-201(b),87
32406,9-1-201(a),9-1-36(a),9-1-201(a),86
32407,9-1-104,22-2-88(b),9-1-104,75
32408,22-2-22,22-2-88(b),22-2-22,11
32409,9-1-36(a),9-1-104,9-1-36(a),119
32410,9-1-36(a),22-2-88(b),9-1-36(a),119
32411,9-1-36(a),61-84.0100/32.0066,9-1-36(a),119
32412,9-1-36(a),22-2-88(b),9-1-36(a),119
32413,9-1-36(a),9-1-104,9-1-36(a),119
32414,22-2-88,22-2-88(b),22-2-88,33
32415,9-1-36(a),9-1-104,9-1-36(a),119
32416,9-1-36(a),9-1-104,9-1-36(a),119
32417,9-1-36(a),9-1-36(a),9-1-36(a),119
32418,9-1-36(a),9-1-104,9-1-36(a),119
32419,9-1-36(a),9-1-36(a),9-1-36(a),119
32420,9-1-36(a),22-2-88(b),9-1-36(a),119
32421,9-1-36(a),22-2-88(b),9-1-36(a),119
32422,9-1-36(a),22-2-88(b),9-1-36(a),119
32423,9-1-36(a),9-1-104,9-1-36(a),119
32424,9-1-36(a),9-1-36(a),9-1-36(a),119
32425,22-2-22,22-2-88(b),22-2-22,11
32426,9-1-36(a),9-1-36(a),9-1-36(a),119
32427,9-1-36(a),22-2-88(b),9-1-36(a),119
32428,9-1-36(a),9-1-104,9-1-36(a),119
32429,22-2-22,22-2-88(b),22-2-22,11
32430,9-1-36(a),22-2-88(b),9-1-36(a),119
32431,9-1-101,22-2-88(b),9-1-101,71
32432,9-1-209,22-2-88(b),9-1-209,94
32433,9-1-36(a),22-2-88(b),9-1-36(a),119
32434,9-1-36(a),22-2-88(b),9-1-36(a),119
32435,9-1-36(a),22-2-88(b),9-1-36(a),119
32436,22-2-22,9-1-104,22-2-22,11
32437,9-1-36(a),9-1-104,9-1-36(a),119
32438,9-1-36(a),22-2-88(b),9-1-36(a),119
32439,9-1-36(a),22-2-88(b),9-1-36(a),119
32440,22-2-45,22-2-88(b),22-2-45,18
32441,22-2-22,9-1-104,22-2-22,11
32442,9-1-36(a),9-1-111(b),9-1-36(a),119
32443,9-1-36(a),9-1-36(a),9-1-36(a),119
32444,9-1-36(a),9-1-104,9-1-36(a),119
32445,22-2-88,22-2-88(b),22-2-88,33
32446,9-1-36(a),9-1-110(a),9-1-36(a),119
32447,9-1-104,9-1-104,9-1-104,75
32448,22-2-17,22-2-88(b),22-2-17,7
32449,9-1-36(a),22-2-88(b),9-1-36(a),119
32450,9-1-36(a),22-2-88(b),9-1-36(a),119
32451,9-1-36(a),9-1-104,9-1-36(a),119
32452,9-1-36(a),9-1-104,9-1-36(a),119
32453,9-1-105,9-1-110(a),9-1-105,76
32454,9-1-81(a),22-2-88(b),9-1-81(a),155
32455,9-1-36(a),9-1-104,9-1-36(a),119
32456,9-1-36(a),9-1-110(a),9-1-36(a),119
32457,22-2-22,22-2-88(b),22-2-22,11
32458,9-1-36(a),22-2-88(b),9-1-36(a),119
32459,9-1-36(a),22-2-88(b),9-1-36(a),119
32460,9-1-43(a) - (Stories,22-2-88(b),9-1-43(a) - (Stories,127
32461,9-1-36(a),9-1-104,9-1-36(a),119
32462,9-1-36(a),22-2-88(b),9-1-36(a),119
32463,9-1-36(a),9-1-104,9-1-36(a),119
32464,9-1-36(a),22-2-88(b),9-1-36(a),119
32465,9-1-36(a),9-1-104,9-1-36(a),119
32466,9-1-36(a),22-2-88(a),9-1-36(a),119
32467,9-1-105,22-2-88(b),9-1-105,76
32468,22-2-88,9-1-104,22-2-88,33
32469,9-1-36(a),22-2-88(b),9-1-36(a),119
32470,9-1-36(a),9-1-104,9-1-36(a),119
32471,9-1-36(a),9-1-110(a),9-1-36(a),119
32472,9-1-36(a),22-2-88(b),9-1-36(a),119
32473,9-1-36(a),9-1-104,9-1-36(a),119
32474,9-1-36(a),22-2-88(b),9-1-36(a),119
32475,9-1-201(a),9-1-104,9-1-201(a),86
32476,9-1-107,9-1-104,9-1-107,78
32477,9-1-206,22-2-88(b),9-1-206,91
32478,22-2-22,22-2-88(b),22-2-22,11
32479,9-1-36(a),9-1-104,9-1-36(a),119
32480,9-1-105,9-1-104,9-1-105,76
32481,9-1-36(a),22-2-88(b),9-1-36(a),119
32482,9-1-104,22-2-88(b),9-1-104,75
32483,9-1-36(a),22-2-88(a),9-1-36(a),119
32484,22-2-22,9-1-110(a),22-2-22,11
32485,22-2-45,9-1-36(a),22-2-45,18
32486,9-1-36(a),9-1-111,9-1-36(a),119
32487,22-2-17,9-1-36(a),22-2-17,7
32488,9-1-36(a),9-1-104,9-1-36(a),119
32489,22-2-22,22-2-88(b),22-2-22,11
32490,22-2-88,9-1-104,22-2-88,33
32491,9-1-104,9-1-104,9-1-104,75
32492,9-1-36(a),22-2-88(b),9-1-36(a),119
32493,9-1-36(a),9-1-36(a),9-1-36(a),119
32494,9-1-36(a),22-2-88(b),9-1-36(a),119
32495,22-2-17,9-1-110(a),22-2-17,7
32496,22-2-17,22-2-88(b),22-2-17,7
32497,9-1-36(a),9-1-104,9-1-36(a),119
32498,9-1-36(a),22-2-88(b),9-1-36(a),119
32499,9-1-36(a),22-2-88(b),9-1-36(a),119
32500,9-1-36(a),9-1-104,9-1-36(a),119
32501,19450901,9-1-110(a),19450901,0
32502,9-1-36(a),22-2-88(b),9-1-36(a),119
32503,9-1-36(a),9-1-104,9-1-36(a),119
32504,9-1-469,22-2-45,9-1-469,146
32505,9-1-36(a),22-2-88(b),9-1-36(a),119
32506,9-1-36(a),9-1-104,9-1-36(a),119
32507,22-2-22,9-1-104,22-2-22,11
32508,9-1-36(a),22-2-88(b),9-1-36(a),119
32509,9-1-104,22-2-88(b),9-1-104,75
32510,22-2-88,22-2-88(b),22-2-88,33
32511,9-1-104,9-1-104,9-1-104,75
32512,22-2-17,22-2-88(b),22-2-17,7
32513,9-1-36(a),22-2-88(b),9-1-36(a),119
32514,9-1-36(a),22-2-88(b),9-1-36(a),119
32515,9-1-311,22-2-88(b),9-1-311,112
32516,9-1-36(a),22-2-83(c),9-1-36(a),119
32517,9-1-105,22-2-88(b),9-1-105,76
32518,9-1-105,9-1-104,9-1-105,76
32519,9-1-36(a),9-1-104,9-1-36(a),119
32520,22-2-88,9-1-104,22-2-88,33
32521,9-1-36(a),9-1-104,9-1-36(a),119
32522,9-1-104,22-2-88(b),9-1-104,75
32523,22-2-17,9-1-110(a),22-2-17,7
32524,9-1-36(a),22-2-45,9-1-36(a),119
32525,22-2-17,9-1-104,22-2-17,7
32526,9-1-36(a),22-2-88(a),9-1-36(a),119
32527,9-1-36(a),9-1-104,9-1-36(a),119
32528,22-2-17,9-1-104,22-2-17,7
32529,9-1-104,9-1-104,9-1-104,75
32530,22-2-88,9-1-104,22-2-88,33
32531,9-1-36(a),22-2-88(b),9-1-36(a),119
32532,9-1-36(a),9-1-104,9-1-36(a),119
32533,9-1-36(a),9-1-104,9-1-36(a),119
32534,9-1-36(a),22-2-88(b),9-1-36(a),119
32535,9-1-36(a),22-2-88(a),9-1-36(a),119
32536,9-1-104,9-1-113,9-1-104,75
32537,9-1-36(a),9-1-104,9-1-36(a),119
32538,9-1-36(a),22-2-88(b),9-1-36(a),119
32539,9-1-36(a),9-1-104,9-1-36(a),119
32540,9-1-81(a),9-1-104,9-1-81(a),155
32541,9-1-36(a),9-1-104,9-1-36(a),119
32542,9-1-36(a),9-1-104,9-1-36(a),119
32543,22-2-88,61-8-27,22-2-88,33
32544,9-1-36(a),9-1-101,9-1-36(a),119
32545,22-2-88,9-1-105,22-2-88,33
32546,9-1-36(a),9-1-104,9-1-36(a),119
32547,22-2-88,9-1-104,22-2-88,33
32548,9-1-36(a),9-1-104,9-1-36(a),119
32549,9-1-36(a),22-2-88(b),9-1-36(a),119
32550,9-1-105,22-2-88(b),9-1-105,76
32551,9-1-104,9-1-104,9-1-104,75
32552,9-1-36(a),22-2-88(b),9-1-36(a),119
32553,9-1-206,9-1-104,9-1-206,91
32554,9-1-81(a),9-1-104,9-1-81(a),155
32555,9-1-209,9-1-104,9-1-209,94
32556,9-1-201(b),9-1-104,9-1-201(b),87
32557,9-1-36(a),22-2-45,9-1-36(a),119
32558,22-2-88,22-2-88(b),22-2-88,33
32559,9-1-36(a),9-1-110(a),9-1-36(a),119
32560,9-1-36(a),22-2-88(b),9-1-36(a),119
32561,9-1-104,9-1-104,9-1-104,75
32562,22-2-88,9-1-104,22-2-88,33
32563,9-1-104,22-2-88(b),9-1-104,75
32564,9-1-36(a),9-1-104,9-1-36(a),119
32565,9-1-105,22-2-88(b),9-1-105,76
32566,9-1-36(a),22-2-88(b),9-1-36(a),119
32567,22-2-88,9-1-110(a),22-2-88,33
32568,9-1-104,9-1-110(a),9-1-104,75
32569,9-1-36(a),9-1-110(a),9-1-36(a),119
32570,9-1-104,22-2-45,9-1-104,75
32571,9-1-43(a) - (Dwellin,9-1-110(a),9-1-43(a) - (Dwellin,126
32572,9-1-43(a) - (Dwellin,9-1-104,9-1-43(a) - (Dwellin,126
32573,9-1-36(a),22-2-88(b),9-1-36(a),119
32574,22-2-88,22-2-18,22-2-88,33
32575,9-1-36(a),22-2-88(b),9-1-36(a),119
32576,9-1-36(a),22-2-88(b),9-1-36(a),119
32577,9-1-104,22-2-88(b),9-1-104,75
32578,9-1-36(a),9-1-104,9-1-36(a),119
32579,9-1-36(a),9-1-104,9-1-36(a),119
32580,9-1-36(a),9-1-36(a),9-1-36(a),119
32581,9-1-201(a),9-1-104,9-1-201(a),86
32582,9-1-110(a),9-1-201(a),9-1-110(a),81
32583,9-1-81(a),9-1-104,9-1-81(a),155
32584,9-1-36(a),9-1-104,9-1-36(a),119
32585,22-2-45,22-2-88(b),22-2-45,18
32586,9-1-36(a),9-1-104,9-1-36(a),119
32587,9-1-36(a),9-1-36(a),9-1-36(a),119
32588,9-1-104,9-1-36(a),9-1-104,75
32589,9-1-36(a),9-1-36(a),9-1-36(a),119
32590,22-2-88,9-1-36(a),22-2-88,33
32591,9-1-107,9-1-104,9-1-107,78
32592,9-1-81(a),22-2-88(b),9-1-81(a),155
32593,9-1-36(a),9-1-104,9-1-36(a),119
32594,9-1-36(a),9-1-104,9-1-36(a),119
32595,9-1-36(a),9-1-104,9-1-36(a),119
32596,9-1-36(a),9-1-104,9-1-36(a),119
32597,22-2-88,9-1-36(a),22-2-88,33
32598,9-1-36(a),9-1-36(a),9-1-36(a),119
32599,9-1-36(a),9-1-110(a),9-1-36(a),119
32600,9-1-36(a),9-1-104,9-1-36(a),119
32601,9-1-81(a),9-1-110(a),9-1-81(a),155
32602,9-1-36(a),9-1-104,9-1-36(a),119
32603,9-1-36(a),9-1-104,9-1-36(a),119
32604,9-1-36(a),22-2-88(b),9-1-36(a),119
32605,9-1-104,9-1-36(a),9-1-104,75
32606,61-4-32,9-1-104,61-4-32,52
32607,9-1-213,9-1-104,9-1-213,98
32608,61-4-33,22-2-88(b),61-4-33,53
32609,9-1-81(a),22-2-88(b),9-1-81(a),155
32610,9-1-209,22-2-88(b),9-1-209,94
32611,9-1-36(a),22-2-88(b),9-1-36(a),119
32612,9-1-36(a),22-2-88(a),9-1-36(a),119
32613,9-1-36(a),22-2-88(b),9-1-36(a),119
32614,9-1-36(a),9-1-104,9-1-36(a),119
32615,9-1-206,22-2-88(b),9-1-206,91
32616,9-1-36(a),9-1-104,9-1-36(a),119
32617,9-1-36(a),22-2-88(b),9-1-36(a),119
32618,9-1-36(a),9-1-104,9-1-36(a),119
32619,9-1-36(a),9-1-104,9-1-36(a),119
32620,9-1-36(a),9-1-36(a),9-1-36(a),119
32621,22-2-22,22-2-88(a),22-2-22,11
32622,9-1-36(a),9-1-104,9-1-36(a),119
32623,22-2-88,22-2-88(b),22-2-88,33
32624,9-1-36(a),22-2-88(b),9-1-36(a),119
32625,9-1-36(a),9-1-36(a),9-1-36(a),119
32626,9-1-36(a),9-1-36(a),9-1-36(a),119
32627,9-1-311,22-2-88(b),9-1-311,112
32628,9-1-36(a),9-1-104,9-1-36(a),119
32629,9-1-36(a),22-2-88(b),9-1-36(a),119
32630,9-1-36(a),9-1-104,9-1-36(a),119
32631,9-1-36(a),22-2-88(b),9-1-36(a),119
32632,9-1-36(a),22-2-83(a)(b)(c),9-1-36(a),119
32633,9-1-81(a),9-1-104,9-1-81(a),155
32634,9-1-36(a),22-2-88(b),9-1-36(a),119
32635,9-1-43(a) - (Dwellin,9-1-110(a),9-1-43(a) - (Dwellin,126
32636,22-2-17,9-1-104,22-2-17,7
32637,9-1-36(a),9-1-104,9-1-36(a),119
32638,22-2-22,22-2-88(b),22-2-22,11
32639,9-1-36(a),22-2-43,9-1-36(a),119
32640,22-2-17,22-2-88(b),22-2-17,7
32641,9-1-36(a),22-2-88(b),9-1-36(a),119
32642,22-2-83,9-1-110(a),22-2-83,24
32643,9-1-104,22-2-88(b),9-1-104,75
32644,9-1-36(a),22-2-88(b),9-1-36(a),119
32645,22-2-22,22-2-88(b),22-2-22,11
32646,9-1-105,22-2-88(b),9-1-105,76
32647,9-1-36(a),9-1-104,9-1-36(a),119
32648,9-1-36(a),22-2-43,9-1-36(a),119
32649,9-1-36(a),22-2-88(b),9-1-36(a),119
32650,9-1-206,9-1-110(a),9-1-206,91
32651,9-1-81(a),22-2-83(a)(b)(c),9-1-81(a),155
32652,9-1-212,9-1-104,9-1-212,97
32653,9-1-205,22-2-88(b),9-1-205,90
32654,9-1-36(a),9-1-104,9-1-36(a),119
32655,9-1-201(b),22-2-88(b),9-1-201(b),87
32656,9-1-104,22-2-88(b),9-1-104,75
32657,9-1-36(a),9-1-111,9-1-36(a),119
32658,9-1-36(a),9-1-36(a),9-1-36(a),119
32659,9-1-36(a),9-1-104,9-1-36(a),119
32660,9-1-36(a),22-2-88(b),9-1-36(a),119
32661,9-1-36(a),22-2-88(b),9-1-36(a),119
32662,9-1-103 (a) or (b),9-1-104,9-1-103 (a) or (b),73
32663,61-4-32,9-1-104,61-4-32,52
32664,9-1-110(a),9-1-104,9-1-110(a),81
32665,9-1-205,9-1-104,9-1-205,90
32666,9-1-107,22-2-88(b),9-1-107,78
32667,22-2-88,22-2-45,22-2-88,33
32668,9-1-36(a),9-1-104,9-1-36(a),119
32669,9-1-36(a),22-2-88(b),9-1-36(a),119
32670,9-1-36(a),9-1-104,9-1-36(a),119
32671,9-1-36(a),22-2-88(b),9-1-36(a),119
32672,9-1-36(a),9-1-104,9-1-36(a),119
32673,9-1-104,9-1-111,9-1-104,75
32674,9-1-36(a),9-1-36(a),9-1-36(a),119
32675,9-1-104,9-1-104,9-1-104,75
32676,9-1-36(a),22-2-88(b),9-1-36(a),119
32677,9-1-36(a),9-1-110(a),9-1-36(a),119
32678,9-1-105,9-1-104,9-1-105,76
32679,9-1-36(a),22-2-45,9-1-36(a),119
32680,9-1-36(a),9-1-104,9-1-36(a),119
32681,9-1-104,22-2-45,9-1-104,75
32682,9-1-36(a),9-1-111,9-1-36(a),119
32683,22-2-45,22-2-88(a),22-2-45,18
32684,22-2-88,9-1-104,22-2-88,33
32685,9-1-104,22-2-88(b),9-1-104,75
32686,9-1-105,9-1-104,9-1-105,76
32687,22-2-88,9-1-111,22-2-88,33
32688,9-1-104,9-1-36(a),9-1-104,75
32689,9-1-104,9-1-36(a),9-1-104,75
32690,22-2-17,9-1-111,22-2-17,7
32691,9-1-36(a),22-2-88(b),9-1-36(a),119
32692,9-1-36(a),9-1-104,9-1-36(a),119
32693,9-1-104,9-1-104,9-1-104,75
32694,9-1-105,22-2-88(b),9-1-105,76
32695,22-2-45,9-1-104,22-2-45,18
32696,22-2-22,9-1-36(a),22-2-22,11
32697,22-2-22,9-1-104,22-2-22,11
32698,22-2-83,22-2-88(b),22-2-83,24
32699,22-2-22,22-2-88(b),22-2-22,11
32700,22-2-83(a)(b)(c),9-1-104,22-2-83(a)(b)(c),25
32701,22-2-17,22-2-88(b),22-2-17,7
32702,22-2-88,9-1-36(a),22-2-88,33
32703,9-1-36(a),9-1-104,9-1-36(a),119
32704,22-2-45,9-1-110(a),22-2-45,18
32705,22-2-17,22-2-88(b),22-2-17,7
32706,22-2-45,22-2-45,22-2-45,18
32707,22-2-45,22-2-88(b),22-2-45,18
32708,22-2-17,9-1-110(a),22-2-17,7
32709,9-1-36(a),9-1-104,9-1-36(a),119
32710,9-1-36(a),9-1-104,9-1-36(a),119
32711,22-2-22,22-2-88(b),22-2-22,11
32712,22-2-45,9-1-104,22-2-45,18
32713,22-2-22,9-1-104,22-2-22,11
32714,22-2-17,22-2-88(b),22-2-17,7
32715,22-2-22,9-1-36(a),22-2-22,11
32716,9-1-201(a),9-1-113,9-1-201(a),86
32717,9-1-36(a),9-1-111,9-1-36(a),119
32718,22-2-88,9-1-113,22-2-88,33
32719,22-2-22,9-1-111,22-2-22,11
32720,22-2-45,9-1-36(a),22-2-45,18
32721,22-2-22,22-2-88(b),22-2-22,11
32722,22-2-45,9-1-104,22-2-45,18
32723,22-2-45,22-2-88(b),22-2-45,18
32724,22-2-17,22-2-88(b),22-2-17,7
32725,9-1-104,9-1-104,9-1-104,75
32726,22-2-22,9-1-111,22-2-22,11
32727,22-2-45,9-1-36(a),22-2-45,18
32728,22-2-22,9-1-36(a),22-2-22,11
32729,22-2-45,9-1-36(a),22-2-45,18
32730,22-2-45,9-1-111,22-2-45,18
32731,22-2-22,22-2-88(b),22-2-22,11
32732,22-2-22,9-1-104,22-2-22,11
32733,22-2-83(a)(b)(c),9-1-104,22-2-83(a)(b)(c),25
32734,9-1-36(a),9-1-113,9-1-36(a),119
32735,22-2-45,9-1-36(a),22-2-45,18
32736,22-2-45,9-1-111,22-2-45,18
32737,22-2-22,9-1-201(a),22-2-22,11
32738,22-2-88,9-1-104,22-2-88,33
32739,9-1-36(a),22-2-88(b),9-1-36(a),119
32740,22-2-22,22-2-88(b),22-2-22,11
32741,9-1-36(a),9-1-36(a),9-1-36(a),119
32742,9-1-36(a),9-1-104,9-1-36(a),119
32743,22-2-83,22-2-88(b),22-2-83,24
32744,22-2-45,22-2-88(b),22-2-45,18
32745,22-2-45,9-1-104,22-2-45,18
